id_transaksi,waktu,Nama_Produk,kategori,type,nominal
TRX-b5915bf6fd26,2024-01-04 13:44:07,Cabai,Makanan & Bahan Makanan,pengeluaran,13185
TRX-398823ecb8cf,2024-01-04 13:50:16,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,18705
TRX-29ec44f1e18a,2024-01-04 20:41:18,Matcha Latte,Minuman & Bahan Minuman,pemasukan,29072
TRX-3f56fc5261c0,2024-01-04 20:54:44,Beras,Makanan & Bahan Makanan,pengeluaran,14768
TRX-f1dabc7184db,2024-01-04 22:03:52,Bakso,Makanan & Bahan Makanan,pemasukan,26223
TRX-4abb14c68fd3,2024-01-04 22:44:49,Bakso,Makanan & Bahan Makanan,pemasukan,32150
TRX-d48f5388ceaf,2024-01-04 23:33:29,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14491
TRX-f257e9092425,2024-01-05 01:49:47,Minyak Goreng,Makanan & Bahan Makanan,pengeluaran,25239
TRX-fc9b70db3737,2024-01-05 01:50:35,Es Teh,Minuman & Bahan Minuman,pemasukan,6360
TRX-8704a738a96c,2024-01-05 03:14:32,Mie Ayam,Makanan & Bahan Makanan,pemasukan,28662
TRX-e40979b82008,2024-01-05 04:18:46,Vitamin,Kesehatan,pengeluaran,11120
TRX-2ffb44ec917a,2024-01-05 05:46:44,Soto Ayam,Makanan & Bahan Makanan,pemasukan,20947
TRX-195b31c7903d,2024-01-05 13:25:02,Es Teh,Minuman & Bahan Minuman,pemasukan,6276
TRX-0018ef29c0bf,2024-01-05 20:56:16,Ayam Geprek,Makanan & Bahan Makanan,pemasukan,21088
TRX-3cc4d3a74a42,2024-01-05 21:50:32,Vitamin,Kesehatan,pengeluaran,20649
TRX-0b0d77bffd80,2024-01-05 23:47:39,Soto Ayam,Makanan & Bahan Makanan,pemasukan,22125
TRX-1767a9dae210,2024-01-06 01:39:25,Masker,Kesehatan,pengeluaran,2611
TRX-866226217cbd,2024-01-06 05:09:23,Es Teh,Minuman & Bahan Minuman,pemasukan,6903
TRX-7dae63d25933,2024-01-06 10:08:33,Masker,Kesehatan,pengeluaran,2883
TRX-9a02a6e64b54,2024-01-06 10:34:11,Masker,Kesehatan,pengeluaran,2974
TRX-7f4194729f5f,2024-01-06 14:33:37,Jeruk Es,Minuman & Bahan Minuman,pemasukan,12825
TRX-68fbe3f32b6a,2024-01-06 21:04:43,Bakso,Makanan & Bahan Makanan,pemasukan,34448
TRX-006eff842810,2024-01-07 04:49:33,Daging Ayam,Makanan & Bahan Makanan,pengeluaran,14524
TRX-5c15510cd10c,2024-01-07 06:10:25,Matcha Latte,Minuman & Bahan Minuman,pemasukan,25297
TRX-a81ad4d11b7e,2024-01-07 08:12:32,Vitamin,Makanan & Bahan Makanan,pengeluaran,14950
TRX-c36820237a89,2024-01-07 09:12:37,Kopi,Minuman & Bahan Minuman,pengeluaran,9737
TRX-10bc40c9498b,2024-01-07 12:02:05,Es Teh,Minuman & Bahan Minuman,pemasukan,6233
TRX-474f84222a1b,2024-01-07 12:23:35,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,27416
TRX-2847615202f8,2024-01-07 13:11:16,Jeruk Es,Minuman & Bahan Minuman,pemasukan,11027
TRX-c37da39c29f2,2024-01-07 14:41:35,Cabai,Makanan & Bahan Makanan,pengeluaran,11758
TRX-fc8237ad32cd,2024-01-08 05:00:01,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,23409
TRX-fc4b282dcaff,2024-01-08 05:29:16,Ayam Geprek,Makanan & Bahan Makanan,pemasukan,26685
TRX-5c1eae455314,2024-01-08 09:41:41,Tinta Printer,ATK/Administrasi,pengeluaran,11301
TRX-62cbd6021d6a,2024-01-08 12:21:24,Jeruk Es,Minuman & Bahan Minuman,pemasukan,11702
TRX-b57f09c8fa57,2024-01-08 12:27:06,Ayam Geprek,Makanan & Bahan Makanan,pemasukan,21342
TRX-5f1f7c77d9fe,2024-01-08 16:28:36,Jeruk Es,Minuman & Bahan Minuman,pemasukan,11548
TRX-094a3f19b78b,2024-01-08 16:57:33,Es Teh,Minuman & Bahan Minuman,pemasukan,7818
TRX-27edf25699c0,2024-01-08 20:00:51,Teh,Minuman & Bahan Minuman,pengeluaran,2249
TRX-bd4175bd8a0f,2024-01-09 02:26:26,Teh,Minuman & Bahan Minuman,pengeluaran,3356
TRX-ddfbee38174d,2024-01-09 02:42:27,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,27520
TRX-be6808720e0e,2024-01-09 02:57:39,Es Teh,Minuman & Bahan Minuman,pemasukan,9600
TRX-62399a8d0dda,2024-01-09 10:56:28,Kopi,Minuman & Bahan Minuman,pengeluaran,7924
TRX-5b2050a826da,2024-01-09 12:23:08,Mie Ayam,Makanan & Bahan Makanan,pemasukan,24350
TRX-76479dd39106,2024-01-09 12:47:27,Matcha Latte,Minuman & Bahan Minuman,pemasukan,22875
TRX-cbf99ceb21ad,2024-01-09 13:25:14,Bakso,Makanan & Bahan Makanan,pemasukan,26700
TRX-d66314100c95,2024-01-09 20:15:50,Kopi Susu,Minuman & Bahan Minuman,pemasukan,23303
TRX-764d86be46cb,2024-01-09 23:00:39,Es Teh,Minuman & Bahan Minuman,pemasukan,7467
TRX-7077a84da565,2024-01-09 23:01:23,Masker,Kesehatan,pengeluaran,2335
TRX-e6fb401afd79,2024-01-10 06:49:36,Kopi,Makanan & Bahan Makanan,pengeluaran,5359
TRX-805d3bf96a89,2024-01-10 07:01:33,Matcha Latte,Minuman & Bahan Minuman,pemasukan,25790
TRX-ea9ad591b7a8,2024-01-10 07:03:42,Soto Ayam,Makanan & Bahan Makanan,pemasukan,23046
TRX-715fd790a038,2024-01-10 07:56:18,Kopi Susu,Minuman & Bahan Minuman,pemasukan,21551
TRX-83f27f77c58a,2024-01-10 08:22:59,Jeruk Es,Minuman & Bahan Minuman,pemasukan,13772
TRX-3f0334ef6656,2024-01-10 18:20:26,Bakso,Makanan & Bahan Makanan,pemasukan,25510
TRX-387127835b5a,2024-01-10 19:20:32,Es Teh,Minuman & Bahan Minuman,pemasukan,8165
TRX-d32516426c81,2024-01-10 20:24:20,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,18621
TRX-b2a804fbc104,2024-01-10 20:28:36,Soto Ayam,Makanan & Bahan Makanan,pemasukan,20749
TRX-e758007be9bf,2024-01-10 23:18:43,Kopi,Makanan & Bahan Makanan,pengeluaran,7394
TRX-f26ab6b77668,2024-01-11 02:14:16,Pulpen,ATK/Administrasi,pengeluaran,2915
TRX-7441408d75e8,2024-01-11 03:04:32,Es Teh,Minuman & Bahan Minuman,pemasukan,9606
TRX-fa51f8987230,2024-01-11 05:43:00,Es Teh,Minuman & Bahan Minuman,pemasukan,9630
TRX-25ae4cdff085,2024-01-11 06:12:34,Tinta Printer,ATK/Administrasi,pengeluaran,6073
TRX-e188e587e209,2024-01-11 06:45:59,Tinta Printer,ATK/Administrasi,pengeluaran,10856
TRX-5be8fc88f6e9,2024-01-11 07:37:49,Vitamin,Kesehatan,pengeluaran,10753
TRX-7ff9b471d8f7,2024-01-11 12:45:32,Jeruk Es,Minuman & Bahan Minuman,pemasukan,11528
TRX-ede493eacea9,2024-01-11 15:17:17,Kopi,Minuman & Bahan Minuman,pengeluaran,8875
TRX-a5f1f3b7fba3,2024-01-11 16:37:19,Soto Ayam,Makanan & Bahan Makanan,pemasukan,24154
TRX-67978e74b8e5,2024-01-11 19:40:58,Soto Ayam,Makanan & Bahan Makanan,pemasukan,25608
TRX-48e406ff7a92,2024-01-12 00:21:02,Teh,Makanan & Bahan Makanan,pengeluaran,3748
TRX-428a9922842d,2024-01-12 05:40:24,Jeruk Es,Minuman & Bahan Minuman,pemasukan,11046
TRX-765391888847,2024-01-12 11:12:19,Cabai,Makanan & Bahan Makanan,pengeluaran,19355
TRX-d7455084fa43,2024-01-12 11:42:07,Vitamin,Kesehatan,pengeluaran,11874
TRX-ac782624209e,2024-01-12 17:29:01,Jeruk Es,Minuman & Bahan Minuman,pemasukan,13981
TRX-36dc464808f2,2024-01-12 20:24:40,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,22603
TRX-c60509124e0e,2024-01-13 00:37:39,Matcha Latte,Minuman & Bahan Minuman,pemasukan,29899
TRX-625bf1abc572,2024-01-13 01:57:17,Kopi Susu,Minuman & Bahan Minuman,pemasukan,18549
TRX-f41fb42c90a8,2024-01-13 09:09:22,Kopi Susu,Minuman & Bahan Minuman,pemasukan,21795
TRX-804bfdf6f6e7,2024-01-13 12:25:10,Kertas Nota,ATK/Administrasi,pengeluaran,11478
TRX-462a923f8f59,2024-01-13 15:04:55,Minyak Goreng,Makanan & Bahan Makanan,pengeluaran,27542
TRX-a87aed5c9daa,2024-01-13 21:06:11,Tinta Printer,ATK/Administrasi,pengeluaran,12062
TRX-47cd767a4061,2024-01-14 02:02:00,Jeruk Es,Minuman & Bahan Minuman,pemasukan,10588
TRX-4d931fc6113a,2024-01-14 02:16:52,Bakso,Makanan & Bahan Makanan,pemasukan,27106
TRX-d7100f26fa09,2024-01-14 02:24:29,Minyak Goreng,Makanan & Bahan Makanan,pengeluaran,19466
TRX-3c0ec363bb88,2024-01-14 02:44:06,Matcha Latte,Minuman & Bahan Minuman,pemasukan,23341
TRX-77ec07e50f63,2024-01-14 04:44:16,Es Teh,Minuman & Bahan Minuman,pemasukan,6262
TRX-85dae8ef6b95,2024-01-14 06:36:41,Matcha Latte,Minuman & Bahan Minuman,pemasukan,25655
TRX-d63c8c79ed15,2024-01-14 09:44:47,Soto Ayam,Makanan & Bahan Makanan,pemasukan,24722
TRX-20f767a183c9,2024-01-14 17:11:19,Kopi Susu,Minuman & Bahan Minuman,pemasukan,21650
TRX-d418912496d8,2024-01-14 18:16:23,Kopi,Makanan & Bahan Makanan,pengeluaran,8902
TRX-3aff428af53b,2024-01-14 18:20:30,Teh,Minuman & Bahan Minuman,pengeluaran,3785
TRX-c4bd9236d1e1,2024-01-15 02:39:26,Es Teh,Minuman & Bahan Minuman,pemasukan,9050
TRX-fa12344f1acd,2024-01-15 05:32:37,Vitamin,Kesehatan,pengeluaran,17851
TRX-6602c7a0ecdf,2024-01-15 07:50:25,Daging Ayam,Makanan & Bahan Makanan,pengeluaran,5145
TRX-1acd51092ebf,2024-01-15 11:26:04,Masker,Kesehatan,pengeluaran,4791
TRX-aab7765f1be8,2024-01-15 12:48:00,Ayam Geprek,Makanan & Bahan Makanan,pemasukan,25095
TRX-18f5def63991,2024-01-15 12:52:18,Susu,Minuman & Bahan Minuman,pengeluaran,10190
TRX-257a3710e97f,2024-01-16 01:30:11,Beras,Makanan & Bahan Makanan,pengeluaran,13984
TRX-c67357ad5de3,2024-01-16 02:02:56,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14946
TRX-6e16fe519788,2024-01-16 02:37:58,Masker,Kesehatan,pengeluaran,3461
TRX-33d275b4cf47,2024-01-16 07:44:29,Matcha Latte,Minuman & Bahan Minuman,pemasukan,28729
TRX-44d60fa3a788,2024-01-16 10:11:32,Es Teh,Minuman & Bahan Minuman,pemasukan,8100
TRX-e5eecbf2fafc,2024-01-16 11:06:19,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,18553
TRX-6c78e593b8f7,2024-01-16 17:57:49,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,27515
TRX-46d400651ad8,2024-01-16 18:54:19,Beras,Makanan & Bahan Makanan,pengeluaran,16717
TRX-4f725c2ea4cc,2024-01-16 19:19:30,Daging Ayam,Makanan & Bahan Makanan,pengeluaran,10158
TRX-8d3228f81b66,2024-01-16 19:35:58,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,27037
TRX-f31b3aadbb14,2024-01-17 04:25:21,Ayam Geprek,Makanan & Bahan Makanan,pemasukan,23235
TRX-92d007ab485c,2024-01-17 05:04:59,Es Teh,Minuman & Bahan Minuman,pemasukan,8657
TRX-6a95737c30d0,2024-01-17 07:07:39,Beras,Makanan & Bahan Makanan,pengeluaran,16721
TRX-a29e6fc34695,2024-01-17 08:32:20,Es Teh,Minuman & Bahan Minuman,pemasukan,9639
TRX-7f6741e5c279,2024-01-17 13:01:46,Es Teh,Minuman & Bahan Minuman,pemasukan,8525
TRX-880d2c6f50a6,2024-01-17 18:58:53,Mie Ayam,Makanan & Bahan Makanan,pemasukan,22728
TRX-0273eab92706,2024-01-17 19:58:00,Kopi Susu,Minuman & Bahan Minuman,pemasukan,23136
TRX-5ee9d2b71326,2024-01-17 21:29:37,Kopi Susu,Minuman & Bahan Minuman,pemasukan,25642
TRX-f17da80345ec,2024-01-17 22:00:08,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14849
TRX-1f695bec9dfe,2024-01-17 22:11:35,Matcha Latte,Minuman & Bahan Minuman,pemasukan,23892
TRX-2531acfdbf1b,2024-01-17 22:45:04,Bakso,Makanan & Bahan Makanan,pemasukan,25876
TRX-50debafeabb3,2024-01-17 22:47:13,Mie Ayam,Makanan & Bahan Makanan,pemasukan,23276
TRX-3c69135ec5e7,2024-01-18 03:22:26,Kopi,Minuman & Bahan Minuman,pengeluaran,8908
TRX-7cf7fcca9ed9,2024-01-18 06:27:32,Bakso,Makanan & Bahan Makanan,pemasukan,32657
TRX-67f0b68d4225,2024-01-18 06:49:42,Vitamin,Kesehatan,pengeluaran,20415
TRX-fba90c147e34,2024-01-18 14:43:04,Minyak Goreng,Makanan & Bahan Makanan,pengeluaran,21376
TRX-82d478700de7,2024-01-18 15:20:54,Matcha Latte,Minuman & Bahan Minuman,pemasukan,26446
TRX-e2b175f2dec8,2024-01-18 16:09:55,Daging Ayam,Makanan & Bahan Makanan,pengeluaran,13277
TRX-51f89e600d99,2024-01-18 21:58:00,Matcha Latte,Minuman & Bahan Minuman,pemasukan,25022
TRX-5c9992a0476c,2024-01-18 22:29:23,Kopi Susu,Minuman & Bahan Minuman,pemasukan,21553
TRX-98ffc1d68b95,2024-01-19 12:18:27,Beras,Makanan & Bahan Makanan,pengeluaran,13043
TRX-e91d5477ec88,2024-01-19 13:23:50,Kopi Susu,Minuman & Bahan Minuman,pemasukan,21824
TRX-1fbbbf737f6e,2024-01-19 15:31:56,Matcha Latte,Minuman & Bahan Minuman,pemasukan,23116
TRX-8ad43c45667d,2024-01-19 17:35:00,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,31900
TRX-ae2c5ec160a4,2024-01-20 01:09:38,Bakso,Makanan & Bahan Makanan,pemasukan,31786
TRX-db86f9ed7887,2024-01-20 02:22:32,Mie Ayam,Makanan & Bahan Makanan,pemasukan,26018
TRX-d0f2839bbea7,2024-01-20 03:37:32,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,31765
TRX-68520f3edca1,2024-01-20 06:43:53,Vitamin,Kesehatan,pengeluaran,19120
TRX-da0e687fd040,2024-01-20 14:37:49,Jeruk Es,Minuman & Bahan Minuman,pemasukan,10399
TRX-5cb2bf07db09,2024-01-21 06:31:56,Kopi,Minuman & Bahan Minuman,pengeluaran,8491
TRX-6b00b09172a3,2024-01-21 08:01:58,Ayam Geprek,Makanan & Bahan Makanan,pemasukan,26022
TRX-07c1b0f6505a,2024-01-21 15:46:28,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,18799
TRX-3ac4690172d1,2024-01-21 16:15:53,Es Teh,Minuman & Bahan Minuman,pemasukan,6546
TRX-95e3d38a617a,2024-01-21 19:11:13,Matcha Latte,Minuman & Bahan Minuman,pemasukan,23876
TRX-1f682a9619be,2024-01-21 20:20:28,Vitamin,Kesehatan,pengeluaran,15197
TRX-2c5219bcd223,2024-01-21 21:06:45,Kopi Susu,Minuman & Bahan Minuman,pemasukan,19692
TRX-dce0fbefb4b6,2024-01-21 21:32:42,Beras,Makanan & Bahan Makanan,pengeluaran,17743
TRX-6e1c5ef606c7,2024-01-21 23:27:43,Bakso,Makanan & Bahan Makanan,pemasukan,30754
TRX-ed56400a8680,2024-01-22 00:31:25,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,28345
TRX-5f88ffd7c07a,2024-01-22 02:28:23,Kopi Susu,Minuman & Bahan Minuman,pemasukan,23394
TRX-d30eb3c7ef3a,2024-01-22 04:47:18,Bakso,Makanan & Bahan Makanan,pemasukan,30260
TRX-87ffa0453860,2024-01-22 05:12:31,Bakso,Makanan & Bahan Makanan,pemasukan,31170
TRX-7e4d57996d32,2024-01-22 08:48:43,Vitamin,Kesehatan,pengeluaran,12443
TRX-32c0f2b4f8d5,2024-01-22 09:18:05,Jeruk Es,Minuman & Bahan Minuman,pemasukan,11660
TRX-97b7907c0fff,2024-01-22 11:05:54,Bakso,Makanan & Bahan Makanan,pemasukan,27656
TRX-15c4297f12ba,2024-01-22 12:14:34,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,23541
TRX-9f948fc712e9,2024-01-22 14:23:44,Soto Ayam,Makanan & Bahan Makanan,pemasukan,26184
TRX-887ad6c765a8,2024-01-22 15:45:28,Bakso,Makanan & Bahan Makanan,pemasukan,34759
TRX-df307d96781a,2024-01-22 17:58:12,Matcha Latte,Minuman & Bahan Minuman,pemasukan,26787
TRX-377e2b22308d,2024-01-23 00:57:37,Susu,Minuman & Bahan Minuman,pengeluaran,16153
TRX-26ffc6d18fa5,2024-01-23 02:20:42,Kopi Susu,Minuman & Bahan Minuman,pemasukan,18659
TRX-f292c1a69beb,2024-01-23 03:47:00,Es Teh,Minuman & Bahan Minuman,pemasukan,7303
TRX-7794cd3c3291,2024-01-23 06:17:21,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14134
TRX-e06eca18db0c,2024-01-23 07:32:14,Susu,Minuman & Bahan Minuman,pengeluaran,15322
TRX-8eb6647ec757,2024-01-23 07:39:54,Soto Ayam,Makanan & Bahan Makanan,pemasukan,24318
TRX-ccedb75e0916,2024-01-23 10:03:33,Gas LPG,Makanan & Bahan Makanan,pengeluaran,33514
TRX-140a118ab729,2024-01-23 11:35:41,Mie Ayam,Makanan & Bahan Makanan,pemasukan,27504
TRX-5930a030ed07,2024-01-23 15:19:16,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,12196
TRX-b810315a1371,2024-01-23 19:33:41,Teh,Minuman & Bahan Minuman,pengeluaran,3100
TRX-f5c70ba3be82,2024-01-23 21:44:44,Gas LPG,Makanan & Bahan Makanan,pengeluaran,25973
TRX-7b87441f7b76,2024-01-23 23:36:23,Matcha Latte,Minuman & Bahan Minuman,pemasukan,23504
TRX-902cb1c1d395,2024-01-24 00:36:38,Jeruk Es,Minuman & Bahan Minuman,pemasukan,10287
TRX-3c43cb16f10b,2024-01-24 02:31:37,Mie Ayam,Makanan & Bahan Makanan,pemasukan,23253
TRX-922dc6ceba80,2024-01-24 02:38:26,Soto Ayam,Makanan & Bahan Makanan,pemasukan,21620
TRX-fb90d9f535e7,2024-01-24 03:14:23,Bakso,Makanan & Bahan Makanan,pemasukan,34428
TRX-39869b11636c,2024-01-24 05:22:00,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,17813
TRX-14d66af19dfc,2024-01-24 09:06:35,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,23764
TRX-5594df84e9e5,2024-01-24 11:17:54,Matcha Latte,Minuman & Bahan Minuman,pemasukan,22073
TRX-f9ca41ed6e15,2024-01-24 12:03:40,Matcha Latte,Minuman & Bahan Minuman,pemasukan,26160
TRX-c7179d5ff36c,2024-01-25 00:39:56,Kopi Susu,Minuman & Bahan Minuman,pemasukan,19302
TRX-2247100aa9b2,2024-01-25 04:02:44,Bakso,Makanan & Bahan Makanan,pemasukan,27461
TRX-96cf1305d7d6,2024-01-25 04:20:48,Teh,Minuman & Bahan Minuman,pengeluaran,2372
TRX-8e6fd4a64442,2024-01-25 06:47:51,Vitamin,Kesehatan,pengeluaran,17167
TRX-b640a92cb727,2024-01-25 10:56:44,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,22095
TRX-e9dc93f1eb9c,2024-01-25 14:56:07,Matcha Latte,Minuman & Bahan Minuman,pemasukan,26638
TRX-d8a49b7e8636,2024-01-25 15:08:21,Jeruk Es,Minuman & Bahan Minuman,pemasukan,13240
TRX-805d31929f83,2024-01-25 17:26:19,Es Teh,Minuman & Bahan Minuman,pemasukan,9969
TRX-8136d250b5c6,2024-01-25 17:31:47,Pulpen,ATK/Administrasi,pengeluaran,3032
TRX-81d96935b2ea,2024-01-25 18:01:36,Kopi,Makanan & Bahan Makanan,pengeluaran,6394
TRX-4f92989dd415,2024-01-25 18:29:45,Jeruk Es,Minuman & Bahan Minuman,pemasukan,12026
TRX-5c599450887b,2024-01-25 18:34:52,Matcha Latte,Minuman & Bahan Minuman,pemasukan,27705
TRX-5d2c958c17f2,2024-01-25 21:18:02,Minyak Goreng,Makanan & Bahan Makanan,pengeluaran,22952
TRX-0a457c9309ea,2024-01-25 23:18:42,Minyak Goreng,Makanan & Bahan Makanan,pengeluaran,28509
TRX-203f7b2e0b53,2024-01-26 02:50:28,Es Teh,Minuman & Bahan Minuman,pemasukan,9137
TRX-e45dfc398ac0,2024-01-26 08:26:39,Jeruk Es,Minuman & Bahan Minuman,pemasukan,11449
TRX-35cea4f8efee,2024-01-26 09:32:55,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14085
TRX-69335a56df66,2024-01-26 13:36:40,Matcha Latte,Minuman & Bahan Minuman,pemasukan,22775
TRX-e81923c4a338,2024-01-26 14:41:31,Jeruk Es,Minuman & Bahan Minuman,pemasukan,10057
TRX-27857032c069,2024-01-26 17:16:18,Jeruk Es,Minuman & Bahan Minuman,pemasukan,13364
TRX-32638960889d,2024-01-26 19:06:47,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14422
TRX-b08192eb42d7,2024-01-26 19:48:10,Vitamin,Kesehatan,pengeluaran,14117
TRX-739f1b577357,2024-01-26 23:16:24,Beras,Makanan & Bahan Makanan,pengeluaran,15749
TRX-0df5254812b3,2024-01-27 00:16:58,Masker,Kesehatan,pengeluaran,3251
